lectureName,lectureID,professor,department,lectureType
현대동양화3,FA061300,손문일,동양화과,심화전공
옛노래의 세계 ,AA050200,강혜선,국어국문학과,심화전공
금속리빙디자인 1,FD006900,김동현,공예과,심화전공
음악과 사회,GC060200,변지연,작곡과,심화전공
독일어의 구조,AI001600,황은미,독일어문·문화학과,심화전공
융합보안개론,LB003800,김성민,융합보안공학과,핵심전공
인체표현,FZ002600,박영근,미술대학,핵심전공
전공실기 1,GB040100,김상애,기악과,핵심전공
전공실기 3,GB041300,정재원,기악과,핵심전공
표현예술치료 1,ID056600,전홍조,무용예술학과,심화전공
헌법: 갈등 해결의 코드,SS070200,김연식,교양학부,핵심교양
중급일본어회화 1,AK001000,다케우치 노리아키,일본어문·문화학과,핵심전공
합창 3,GA041100,김범진,성악과,핵심전공
식품미생물학실험,DB051400,현정은,식품영양학과,핵심전공
건강가정론,DD021300,고선강,사회복지학과,심화전공
전공실기 1,GB040100,황대남,기악과,핵심전공
처음 시작하는 딥러닝,OU098800,미정,학사운영팀,일반교양
전공실기 3,GB041300,이응우,기악과,핵심전공
지도학,BD003300,정재준,지리학과,핵심전공
파이썬프로그래밍,SA046200,권수정,정보시스템공학과,공통교양
국제 정세의 이해,SS029300,김성용,교양학부,핵심교양
비판적 사고와 토론,SA011100,박미란,교양학부,공통교양
생물 교과교육론,LG002300,안주현,바이오생명공학과,심화전공
공통 중국어,SA040100,윤지영,교양학부,공통교양
프랑스 문화와 예술,SS051400,이선우,교양학부,핵심교양
전공실기1,IC000100,김영준,현대실용음악학과,핵심전공
텍스타일소재개발 1,FD057500,이주연,공예과,핵심전공
파이썬프로그래밍,SA046200,이택,정보시스템공학과,공통교양
건강심리학,BC001100,서수연,심리학과,심화전공
과학기술사,SS051300,김준식,교양학부,핵심교양
보컬 1,IB001600,전은혜,미디어영상연기학과,심화전공
피아노를 위한 대위법 1,GB000900,전민재,기악과,핵심전공
의학개론 1,HB004900,전민영,글로벌의과학과,심화전공
문화예술 교육 현장의 이해와 실습,SS086500,강향숙,교양학부,진로소양
프랑스시와 예술,AJ002000,김병욱,프랑스어문·문화학과,심화전공
재료기법 1,FC052600,조영철,조소과,심화전공
상해예방과 재활테이핑,DF003500,송기재,운동재활복지학과,핵심전공
전공실기 5,ID003900,이민선,무용예술학과,심화전공
일본어 기초표현 1,AK000300,홍윤표,일본어문·문화학과,핵심전공
창조적 사고와 글쓰기,SA011200,탁원정,교양학부,공통교양
디지털 조형 1,FC053400,엄아롱,조소과,심화전공
법학개론,BZ000100,황태희,법학부,핵심전공
화장품 성분학,PB002500,박초희,뷰티산업학과,심화전공
유아동작교육,EE003400,이사임,유아교육과,심화전공
수학 논리 및 논술,CA032300,정해남,수학과,심화전공
전공실기 3,ID003400,김주원,무용예술학과,핵심전공
융합화학,LE000900,황안나,청정융합에너지공학과,핵심전공
전공실기 7,GB043600,이태영,기악과,심화전공
응용 영어학,AB052700,윤태진,영어영문학과,핵심전공
여성사의 이해,AG006700,오경환,사학과,심화전공
보건통계,DB041700,강태욱,식품영양학과,심화전공
현대동양화 1,FA054500,하용주,동양화과,핵심전공
배드민턴 1,DE000900,신희광,스포츠레저학과,심화전공
전공실기 7,GB043600,성해린,기악과,심화전공
노동법 1,BA051900,권오성,법학부,핵심전공
기본간호학실습 1,HA002900,송효빈,간호학과,핵심전공
경제지리학,BD040300,이금숙,지리학과,핵심전공
일본어,SS084000,네고로 유키,교양학부,진로소양
뉴스포츠,DE024300,최재희,스포츠레저학과,심화전공
기초한문 1,ED040100,손유경,한문교육과,핵심전공
전공실기 1,GB040100,유예동,기악과,핵심전공
교수설계,EA000800,김은진,교육학과,심화전공
현대수묵화연구1,FA001000,장재록,동양화과,핵심전공
중급중국어 회화 1,AL001100,김화진,중국어문·문화학과,핵심전공
마케팅원론,BF040500,유경남,경영학과,핵심전공
기업가 정신과 E-Business전략,BF000700,신철호,경영학과,핵심전공
전공실기 3,GB041300,김민조,기악과,핵심전공
패션 스튜디오,SS087000,염미선,교양학부,핵심교양
피아노앙상블 2,GB053100,김성희,기악과,심화전공
합창 7,GA003700,김범진,성악과,심화전공
건강사정,HA001800,임경춘,간호학과,핵심전공
전공실기 5,IC002000,이준,현대실용음악학과,심화전공
졸업작품 및 논문 ,PB003900,량쉬,뷰티산업학과,심화전공
트레이닝방법론,DE000100,이윤미,스포츠레저학과,심화전공
초급중국어 1,AL000300,정세진,중국어문·문화학과,핵심전공
전공실기 5,IC002000,반검서,현대실용음악학과,심화전공
유아언어교육,EE040300,이문옥,유아교육과,핵심전공
산문교육론,ED001600,류준경,한문교육과,심화전공
교육실습,TE061200,미정,학사운영팀,교직
전공이론 및 악기(A) 5,GC055500,김예진,작곡과,심화전공
웹 보안,LB002300,임연섭,융합보안공학과,핵심전공
여성 리더십과 커뮤니케이션,SS026900,김오현,교양학부,진로소양
인체생리학,SB030900,천주영,교양학부,핵심교양
기초 통계학,SA046100,권윤기,통계학과,공통교양
세계의 차 문화,SS015200,김효주,교양학부,진로소양
사회 논리 및 논술,EB003300,송현정,사회교육과,심화전공
중급중국어 1,AL001000,정세진,중국어문·문화학과,핵심전공
글로벌 스타트업 관리,PD001800,차용욱,글로벌비즈니스,심화전공
전공실기 5,IC002000,김정범,현대실용음악학과,심화전공
생활 속의 법적 분쟁과 해결,SG020200,최우령,교양학부,핵심교양
전공실기 3,GA040900,인수연,성악과,핵심전공
영어학개론,AB050800,김경영,영어영문학과,핵심전공
공간정보학실무,BD021700,정재준,지리학과,심화전공
전공실기 5,IC002000,윤혜린,현대실용음악학과,심화전공
성악 인턴십 1,GA054100,소수정,성악과,핵심전공
국민경제와 경제교육,EB050400,박형준,사회교육과,핵심전공
형법연습,BA052000,김나경,법학부,심화전공
테마로 보는 전통문화,SS059400,조순자,교양학부,핵심교양
한글 맞춤법과 국어 능력,SS024800,정종수,교양학부,핵심교양
전공실기 5,GA041600,정나리,성악과,심화전공
사회 공헌 활동의 이해와 전망,SS088500,서경덕,교양학부,핵심교양
정보보호제품보안성평가기준설계,LB001900,김경진,융합보안공학과,심화전공
무기화학 1,CI001700,구본재,화학과,심화전공
바람직한 인간관계를 위한 갈등 관리와 협상,SS014800,김오현,교양학부,핵심교양
대중예술 트렌드 세미나,IA003100,김진각,문화예술경영학과,심화전공
International Seminar: Korean and Global Affairs,SS100800,김장욱,국제교류지원팀,진로소양
전공실기 5,GA041600,민숙연,성악과,심화전공
비즈니스 일본어와 프레젠테이션,AK001200,김옥임,일본어문·문화학과,심화전공
생애 주기별 건강과 복지,SS033200,고선강,교양학부,핵심교양
창업 아이디어 발상 및 실습,SS078200,김현이,창업교육팀,진로소양
비교교육학,EA002400,김지현,교육학과,심화전공
한국회화 스튜디오1,FA042000,유근택,동양화과,심화전공
국제통상법 1,BJ001700,이상혁,법학부,심화전공
유도 1,DF004600,이소연,운동재활복지학과,핵심전공
영미명작읽기,AB052600,정이화,영어영문학과,심화전공
바이오식품공학 1,LF001400,장혜원,바이오식품공학과,심화전공
한자교육방법론,ED000700,허철,한문교육과,핵심전공
비판적 사고와 토론,SA011100,류경동,교양학부,공통교양
스포츠레저현장실습,DE023500,양윤권,스포츠레저학과,심화전공
에너지소재공학,LE001800,임종훈,청정융합에너지공학과,심화전공
교육심리,TE060400,오혜림,교육학과,교직
프로젝트공학 1,LE003300,홍현선,청정융합에너지공학과,심화전공
미디어 데이터 분석,BH045200,김호성,미디어커뮤니케이션학과,핵심전공
서양음악사및문헌 3,GC042100,신인선,작곡과,핵심전공
지역사회간호학 2,HA002800,조정민,간호학과,심화전공
전공실기 1,GC020300,윤규일,작곡과,핵심전공
창조적 사고와 글쓰기,SA011200,송용구,교양학부,공통교양
투자론,BF041200,정미화,경영학과,심화전공
독일어 듣기와 말하기1,AI000800,마누엘 보가드,독일어문·문화학과,핵심전공
세계 시민교육과 글로벌 리더십,SS087100,올리버 테리,교양학부,핵심교양
조사연구법,BC050400,박혜경,심리학과,심화전공
공통 스마트 IT 기술의 현재와 미래,SA045300,장현미,교양학부,공통교양
법률영어,BZ000700,김연식,법학부,핵심전공
직무 적성검사 분석,SS077800,이동원,인재개발팀,진로소양
악기수리법 1,GB004900,여우진,기악과,심화전공
특수소재와 봉제,PA003000,윤지원,의류산업학과,심화전공
영화 제작실습 1,IB001800,박은형,미디어영상연기학과,핵심전공
유치원 논리 및 논술,EE002500,김고은,유아교육과,심화전공
무용예술,ID001400,김미숙,무용예술학과,핵심전공
유통관리,BF001100,이성근,경영학과,심화전공
일반생물학 Ⅰ,SB030500,권혜경,바이오생명공학과,핵심교양
전공실기 5,IC002000,김현민,현대실용음악학과,심화전공
문화예술정책과 법,IA002400,김진각,문화예술경영학과,심화전공
전공실기 5,GA041600,공영숙,성악과,심화전공
영미단편,AB040600,정이화,영어영문학과,핵심전공
공공역사와 미디어,AG004100,이규철,사학과,핵심전공
외국어 논리 및 논술(동양권),AL002400,신준호,중국어문·문화학과,심화전공
배우 신체훈련 1,IB000200,김선권,미디어영상연기학과,핵심전공
교직실무,TE061600,권경숙,교육학과,교직
오픈소스 SW 활용,SA045600,이화주,교양학부,공통교양
독일도시와 인문학,AI004100,조수진,독일어문·문화학과,심화전공
형상조소1,FC040300,권치규,조소과,핵심전공
패션마케팅,PA000300,김해정,의류산업학과,핵심전공
정보경험디자인스튜디오 1,FE046300,신수민,산업디자인과,심화전공
전공이론 및 악기(B) 3,GC055400,정혜경,작곡과,핵심전공
경영학원론,BF040100,이석영,경영학부,핵심전공
시사 영어 청취,SA046300,김장욱,교양학부,공통교양
어패럴 메이킹,PA001200,문윤경,의류산업학과,핵심전공
공통 실용적 영어 글쓰기 Ⅱ,SA020500,올리버 테리,교양학부,공통교양
피아노 및 관현악 교수법 1,GB043800,김지현,기악과,심화전공
예비 부모 교육,SS032300,김선주,교양학부,진로소양
전공실기 1,GB040100,어수희,기악과,핵심전공
전공실기 1,GB040100,정담온,기악과,핵심전공
기후 변화와 문명,SS059200,박경,교양학부,핵심교양
놀이지도,EE040800,정효진,유아교육과,핵심전공
창조적 사고와 글쓰기,SA011200,방금단,교양학부,공통교양
패션머천다이징,PA004800,김해정,의류산업학과,핵심전공
초급일본어연습 1,AK000100,다케우치 노리아키,일본어문·문화학과,핵심전공
식품화학,DB000200,표영희,식품영양학과,핵심전공
공통 실용적 영어 글쓰기 Ⅱ,SA020500,존 다니엘 맥카시,교양학부,공통교양
공통 영어 스피치와 프레젠테이션 Ⅰ,SA020100,콜 헌트,교양학부,공통교양
경제학 개론,SS050500,이창선,교양학부,핵심교양
운동과 건강,DE023300,권보하,스포츠레저학과,핵심전공
볼링 1,DE012900,정영남,스포츠과학부,핵심전공
통합도자공예실기 1,FD040600,김시만,공예과,핵심전공
자료구조,LC000700,변혜원,컴퓨터공학과,핵심전공
인간커뮤니케이션,BH010300,이은주,미디어커뮤니케이션학과,핵심전공
공통 중국어,SA040100,송향경,교양학부,공통교양
전공실기 3,GB041300,윤서우,기악과,핵심전공
전공실기 1,GC020300,전예은,작곡과,핵심전공
공통 독일어,SA040400,함경희,교양학부,공통교양
채권법총론,BZ000600,전광백,법학부,핵심전공
화성법1,GA053800,김설향,성악과,핵심전공
음반프로덕션,IC002800,정철,현대실용음악학과,심화전공
공통 서구 문화의 이해,SA030500,니노슬라브 란제로빅,교양학부,공통교양
리빙디자인,FE061000,이홍구,산업디자인과,핵심전공
교육과정개발,EA003300,김종훈,교육학과,심화전공
식품소재 효능 평가실험,LF003100,나혜경,바이오식품공학과,심화전공
민주정치와 시민교육,EB090900,서현진,사회교육과,심화전공
바이오식품공학 진로와 전망,LF000100,김종훈,바이오식품공학과,핵심전공
일반생물학실험 1,LG000200,최상철,바이오생명공학과,핵심전공
데이터베이스설계,LC001700,박지웅,컴퓨터공학과,심화전공
전공실기 5,GB042400,이준성,기악과,심화전공
Developing Positive Mind,SS100700,조나단 리스 팬톤,교양학부,핵심교양
생리학 1,HB003300,전민영,글로벌의과학과,심화전공
이슬람 문화와 예술,KU004600,미정,학사운영팀,일반교양
창작연주 1,GC005300,이인식,작곡과,핵심전공
전공실기 1,GC020300,정미선,작곡과,핵심전공
전공실기 5,GB042400,권혜진,기악과,심화전공
포토저널리즘,BH020600,김호성,미디어커뮤니케이션학과,핵심전공
테니스,SS060000,김현경,교양학부,진로소양
프랑스 공연예술,AJ001200,이선우,프랑스어문·문화학과,핵심전공
경제원론 1,BE040100,박기주,경제학과,핵심전공
공통 드라마 영어,SA030200,앤드리아 톨레프슨,교양학부,공통교양
비교정치론,BB040700,고우정,정치외교학과,핵심전공
무용지도법 1,ID004500,신은석,무용예술학과,심화전공
전공실기 3,GA040900,김범진,성악과,핵심전공
유전자 과학과 미래,SS085600,유중기,교양학부,핵심교양
창조적 사고와 글쓰기,SA011200,조별,교양학부,공통교양
현악합주 1,GB040900,피호영,기악과,핵심전공
스포츠통계,DE001200,김영진,스포츠레저학과,심화전공
일반물리학 Ⅰ,SB030700,유상구,화학과,핵심교양
전공실기 1,GB040100,이동곤,기악과,핵심전공
낭만화성,GB000500,홍청의,기악과,핵심전공
공통 사회 심리의 이해,SA030700,조나단 리스 팬톤,교양학부,공통교양
영어전공생을 위한 파이썬프로그래밍,AB061200,윤태진,영어영문학과,핵심전공
파이썬프로그래밍,SA046200,이정빈,정보시스템공학과,공통교양
마케팅원론,BF040500,변경희,경영학과,핵심전공
국제법과 시사문제,BJ002500,이천기,법학부,심화전공
캡스톤디자인을 통한 클래식 음악 콘텐츠 제작,GA092000,박지현,성악과,심화전공
수치적 데이터 처리 1,CA061200,김주홍,수학과,심화전공
전공실기 1,GA040100,인수연,성악과,핵심전공
국악개론 및 실습,GB001100,문현,기악과,심화전공
글로벌 기업 전문가 특강,PD003300,차용욱,글로벌비즈니스,심화전공
가계경제와 시장,PC000200,석재혜,소비자생활문화산업학과,핵심전공
획과 여백 1,FZ001300,강유림,미술대학,핵심전공
전공실기 7,IC002900,남예지,현대실용음악학과,심화전공
미적분학 및 연습 1,HB002700,조명원,글로벌의과학과,핵심전공
공통 실용적 영어 글쓰기 Ⅰ,SA020400,메스 닐슨,교양학부,공통교양
공통 실용적 영어 글쓰기 Ⅱ,SA020500,다릴 로스,교양학부,공통교양
전공실기 5,IC002000,남예지,현대실용음악학과,심화전공
마음을읽어주는미술치료,OU000500,미정,학사운영팀,일반교양
현대동양화 1,FA054500,권기범,동양화과,핵심전공
소비자상담과 피해구제,PC002800,권용덕,소비자생활문화산업학과,심화전공
시창.청음 3,GB050700,김지현,기악과,핵심전공
패션컬러기획,FD001900,박좌용,공예과,심화전공
전공실기 3,IC000800,심영주,현대실용음악학과,핵심전공
중국어 Ⅰ,SG011000,리우 나,교양학부,진로소양
고급C++프로그래밍,LC004000,심광섭,컴퓨터공학과,핵심전공
전공실기 1,GB040100,최고은,기악과,핵심전공
파이썬프로그래밍,SA046200,윤상덕,정보시스템공학과,공통교양
세계 미디어산업 정책,BH040200,심상민,미디어커뮤니케이션학과,심화전공
일본어 중급표현 1,AK000900,안평호,일본어문·문화학과,핵심전공
글로벌지역연구,PD003800,박성진,글로벌비즈니스,심화전공
대체요법,DE023200,박성영,스포츠레저학과,심화전공
전공실기 5,IC002000,이지영,현대실용음악학과,심화전공
발생공학실험,LG003400,전용필,바이오생명공학과,심화전공
공통 실용적 영어 글쓰기 Ⅱ,SA020500,조나단 리스 팬톤,교양학부,공통교양
대중 문화 예술 산책,SS032500,윤상호,교양학부,핵심교양
운동역학,DE001000,구본호,스포츠레저학과,심화전공
Writing for the Modern World,SS080300,마타 라카누이,교양학부,진로소양
불교학 개론,EC001100,윤민향,윤리교육과,심화전공
전공실기 1,GB040100,구태은,기악과,핵심전공
학내연주 3,GB003500,임경원,기악과,핵심전공
미용학개론,PB000300,한지수,뷰티산업학과,핵심전공
공통 영어 스피치와 프레젠테이션 Ⅰ,SA020100,스티븐 파이겐바움,교양학부,공통교양
조선시대의 역사와 문화,AG001700,이규철,사학과,핵심전공
현대판화 3,FB052600,이지영,서양화과,심화전공
서화기초 1,FA054300,성태훈,동양화과,핵심전공
관악합주 7,GB052700,김동수,기악과,심화전공
21세기 미국문학 다시 읽기,SS087900,전연희,교양학부,핵심교양
일본어 중급표현 1,AK000900,남휘정,일본어문·문화학과,핵심전공
졸업프로젝트,PA003400,윤지원,의류산업학과,심화전공
홈 레코딩과 믹싱 1,IC003600,채준기,현대실용음악학과,심화전공
생화학 1,LF000600,나혜경,바이오식품공학과,핵심전공
드레이핑,PA001100,김미영,의류산업학과,핵심전공
고급영양학,DB040800,이승민,식품영양학과,핵심전공
인체표현,FZ002600,이규성,미술대학,핵심전공
당시와 여성,AL000900,정세진,중국어문·문화학과,핵심전공
British Culture and History,SA030400,올리버 테리,교양학부,공통교양
인체와 의복구성,PA000400,김경희,의류산업학과,핵심전공
암호응용,LB001100,박새롬,융합보안공학과,심화전공
일반생물학실험 1,LG000200,강창수,바이오생명공학과,핵심전공
전공실기1,IC000100,유수미,현대실용음악학과,핵심전공
서양음악사 및 문헌 3,GB000300,이혜진,기악과,핵심전공
창작실내악 1,GB094200,김도연,기악과,심화전공
교육방법 및 교육공학,TE060500,노석준,교육학과,교직
근대성의 이해,AG003300,김민수,사학과,심화전공
경제사,BE000100,박기주,경제학과,핵심전공
전공실기 7,IC002900,성기준,현대실용음악학과,심화전공
기초연기실습 1,IB000300,김정훈,미디어영상연기학과,핵심전공
전기화학,LE001700,임종훈,청정융합에너지공학과,심화전공
무용지도법 1,ID004500,성재형,무용예술학과,심화전공
"인물, 사건과 내러티브",AZ001200,조국,인문과학대학,핵심전공
창조적 사고와 글쓰기,SA011200,김예니,교양학부,공통교양
유기분광학,CI001900,정선호,화학과,심화전공
재현적표현 1,FB041700,김지은,서양화과,핵심전공
중급중국어 회화 1,AL001100,김수진,중국어문·문화학과,핵심전공
전공실기 7,GB043600,이준성,기악과,심화전공
졸업프로젝트,PA003400,장민정,의류산업학과,심화전공
전공실기 7,GB043600,유예동,기악과,심화전공
예술 비즈니스 창업론,SS056400,김정섭,창업교육팀,진로소양
창조적 사고와 글쓰기,SA011200,장예준,교양학부,공통교양
융합무용기초,IZ000200,최혜경,융합문화예술대학,핵심전공
세상을 바꾸는 아름다운 수학,OU099000,미정,학사운영팀,일반교양
무용지도법 1,ID004500,김미숙,무용예술학과,심화전공
마케팅커뮤니케이션캠페인,BH021100,신형교,미디어커뮤니케이션학과,심화전공
IT개론,LD000300,이재원,정보시스템공학과,핵심전공
세법 1,BJ002400,하봉곤,법학부,심화전공
보육실습,EE002000,황인애,유아교육과,심화전공
자바프로그래밍,LC001800,이혜리,컴퓨터공학과,핵심전공
공통 영어 스피치와 프레젠테이션 Ⅰ,SA020100,수잔 홀랜드,교양학부,공통교양
기술과 소비자,PC001800,양수진,소비자생활문화산업학과,심화전공
스마트모바일 프로그래밍,LD002200,조성우,정보시스템공학과,심화전공
건반화성 1,GC041900,전예은,작곡과,핵심전공
현장드로잉1,FA041500,유근택,동양화과,심화전공
중급중국어 1,AL001000,윤지영,중국어문·문화학과,핵심전공
전공실기 3,GB041300,피호영,기악과,핵심전공
노동경제학,BE050400,박기성,경제학과,심화전공
전공이론 및 악기(B) 3,GC055400,김수현,작곡과,핵심전공
전공실기 3,GC020500,윤규일,작곡과,핵심전공
체형관리에스테틱 ,PB001100,임우경,뷰티산업학과,핵심전공
디자인실무와 커뮤니케이션,FE092600,장기윤,산업디자인과,심화전공
호흡/발성 1,IB000100,김혜진,미디어영상연기학과,핵심전공
역사 속의 불교사상과 문화,AG054000,옥나영,사학과,심화전공
미적분과 벡터해석 기초,SA045900,남궁정일,수학과,공통교양
융합무용기초,IZ000200,김미숙,융합문화예술대학,핵심전공
무대연출론,IA001300,김수정,문화예술경영학과,심화전공
전공실기 5,GB042400,박의경,기악과,심화전공
시각디자인 1,FE004100,김미애,산업디자인과,핵심전공
정신간호학실습 2,HA005200,정명실,간호학과,심화전공
융합매체1,FA061000,김혜리,동양화과,심화전공
무용감상,ID004900,김지윤,무용예술학과,심화전공
교육행정 및 교육경영,TE060600,김주경,교육학과,교직
전략 커뮤니케이션 개론,BH020100,김현정,미디어커뮤니케이션학과,핵심전공
서양음악사 및 문헌 1,GB000100,이혜진,기악과,핵심전공
비판적 사고와 토론,SA011100,김준석,교양학부,공통교양
독일어작문연습,AI001000,이재영,독일어문·문화학과,심화전공
자원순환공학,LE002800,홍현선,청정융합에너지공학과,심화전공
시사중국어,AL003300,이정인,중국어문·문화학과,심화전공
소재공정기술,LE002700,임종훈,청정융합에너지공학과,심화전공
기초통계학,CE000100,정호현,통계학과,핵심전공
의약화학 1,HB004700,이지연,글로벌의과학과,심화전공
창조적 사고와 글쓰기,SA011200,김난경,교양학부,공통교양
산업경제학,BE000500,진양수,경제학과,심화전공
전공실기 1,GA040100,이영은,성악과,핵심전공
중급일본어회화 1,AK001000,네고로 유키,일본어문·문화학과,핵심전공
민주시민 가치교육론,EC041000,문경호,윤리교육과,핵심전공
기초 통계학,SA046100,김계완,통계학과,공통교양
British Culture and History,SA030400,존 다니엘 맥카시,교양학부,공통교양
패션디자인과 구성,PA002200,류한나,의류산업학과,심화전공
한국회화사,FA000300,이보연,동양화과,핵심전공
음악분석 1,IC000400,김정범,현대실용음악학과,핵심전공
소비자학,PC000100,박나영,소비자생활문화산업학과,핵심전공
필라테스자세교정 1,ID000500,전홍조,무용예술학과,핵심전공
경영경제 자료분석,CE002200,이종협,통계학과,심화전공
중국문자문화의 이해,AL000700,김은희,중국어문·문화학과,핵심전공
현대정치사회이론,BB000800,김용직,정치외교학과,핵심전공
바이오식품설계,LF003400,김종훈,바이오식품공학과,심화전공
창조적 사고와 글쓰기,SA011200,신희경,교양학부,공통교양
심리학개론,BC000100,조효진,심리학과,핵심전공
시각디자인스튜디오 1,FE044700,장혜진,산업디자인과,심화전공
전공실기 3,IC000800,유수미,현대실용음악학과,핵심전공
우주로의 여행,SS070700,이길우,교양학부,핵심교양
철학으로의 초대,SS050400,배식한,교양학부,핵심교양
초급영어 읽기와 쓰기,AB001000,앨리슨 맥스웰,영어영문학과,핵심전공
입체와 공간,FZ000100,김민형,미술대학,핵심전공
중국현대문학과 문화,AL001900,김수진,중국어문·문화학과,심화전공
전공실기 5,ID003900,성재형,무용예술학과,심화전공
전공실기 3,GB041300,이화경,기악과,핵심전공
정치학 고전의 이해,SS053700,윤종성,교양학부,핵심교양
공통 세계 단편 소설,SA030300,존 다니엘 맥카시,교양학부,공통교양
전공 실무영어,PB001000,앤드리아 톨레프슨,뷰티산업학과,핵심전공
전공실기 5,GB042400,오윤주,기악과,심화전공
전통윤리,EC000100,윤용남,윤리교육과,핵심전공
현대수묵화연구1,FA001000,권순영,동양화과,핵심전공
전공실기 5,GB042400,김성희,기악과,심화전공
소비자복지와 웰빙산업,PC001200,박배진,소비자생활문화산업학과,핵심전공
타이포그래피 1,FE025000,황상준,산업디자인과,핵심전공
전공실기 1,GB040100,이재완,기악과,핵심전공
공통 프랑스어,SA040300,안성은,교양학부,공통교양
전공실기 3,GB041300,민유경,기악과,핵심전공
교육연구방법,EA002200,강태훈,교육학과,핵심전공
전공실기 1,GA040100,김경란,성악과,핵심전공
예술 비즈니스 창업론,SS056400,김대원,창업교육팀,진로소양
자바프로그래밍,LC001800,이윤경,컴퓨터공학과,핵심전공
음악분석 3,GC002600,정미선,작곡과,심화전공
미디어비즈니스,BH030400,심상민,미디어커뮤니케이션학과,심화전공
현대드로잉 1,FB040900,안중경,서양화과,핵심전공
해킹프로그램실습 1,LB002100,이별,융합보안공학과,심화전공
일반화학 Ⅰ,SB030300,심용호,화학과,핵심교양
R통계분석,CE052700,김동하,통계학과,핵심전공
협업생산프로젝트(LBD),FD056500,박태성,공예과,심화전공
고급C++프로그래밍,LC004000,오장민,컴퓨터공학과,핵심전공
프랑스 문화와 명작산책,AJ000300,김혜중,프랑스어문·문화학과,핵심전공
교육통계,EA040700,김명연,교육학과,심화전공
영양사현장실습,DB002400,표영희,식품영양학과,심화전공
전공실기 3,GB041300,김성희,기악과,핵심전공
근관절 기능해부학,DF000200,김영주,운동재활복지학과,핵심전공
상품개발 및 마케팅 1,FD007500,한명호,공예과,심화전공
웹프로그래밍기초,LZ000300,고다혜,서비스·디자인공학과,핵심전공
영화 제작실습 1,IB001800,권호영,미디어영상연기학과,핵심전공
학내연주 5,GB003700,임경원,기악과,심화전공
창조적 사고와 글쓰기,SA011200,김현화,교양학부,공통교양
미생물학,HA001300,황춘하,간호학과,핵심전공
웹정보검색,LC002900,심광섭,컴퓨터공학과,심화전공
전공실기 7,IC002900,김유미,현대실용음악학과,심화전공
니트디자인프로세스,FD057700,문보영,공예과,심화전공
일반화학 Ⅰ,SB030300,이향애,화학과,핵심교양
현대인의 질병과 영양,KU001600,미정,학사운영팀,일반교양
화성 및 실습 1,GC059500,김예진,작곡과,핵심전공
전공실기 3,GB041300,어수희,기악과,핵심전공
비판적 사고와 토론,SA011100,신승한,교양학부,공통교양
도자리빙디자인기초 1,FD057100,한영숙,공예과,핵심전공
